,Localty,Min,Max,Avg,Change,location,point,latitude,longitude,altitude
41,Worli,213,122026 , 74523.7 ,3.3,"Worli, G/S Ward, Zone 2, Mumbai, Mumbai City, Maharashtra, 400030, India","(19.0116962, 72.8180702, 0.0)",19.0116962,72.8180702,0.0
42,Bhiwandi,397,19947 , 15493.27 ,134.6,"Bhiwandi, Thane, Maharashtra, India","(19.362530800000002, 73.07847467842203, 0.0)",19.362530800000002,73.07847467842203,0.0
43,Jogeshwari West,6328,35000 , 31625.39 ,34.5,"Jogeshwari West, K/W Ward, Zone 3, Mumbai, Mumbai Suburban, Maharashtra, 40058, India","(19.136394, 72.8373817, 0.0)",19.136394,72.8373817,0.0
44,Parel,446,60606 , 51783.1 ,-4.8,"Parel, Parel-Prabhadevi Bridge, Elphinstone Road, G/N Ward, Zone 2, Mumbai, Mumbai City, Maharashtra, 400 013, India","(19.0094817, 72.8376614, 0.0)",19.0094817,72.8376614,0.0
45,mumbai,200,78571 , 58116.52 ,217.9,"Mumbai, Mumbai Suburban, Maharashtra, India","(19.0759899, 72.8773928, 0.0)",19.0759899,72.8773928,0.0
46,Ambernath East,389,13300 , 11831.49 ,7,"Ambernath, Ulhasnagar, Thane, Maharashtra, India","(19.1989795, 73.19611234000438, 0.0)",19.1989795,73.19611234000438,0.0
47,Virar West,421,10862 , 9122.95 ,11.3,"Virar West, Vasai-Virar, Vasai, Palghar, Maharashtra, 401303, India","(19.4533576, 72.8057966, 0.0)",19.4533576,72.8057966,0.0
48,Prabhadevi,481,175000 , 78589.23 ,-9.9,"Prabhadevi, G/S Ward, Zone 2, Mumbai, Mumbai City, Maharashtra, 400025, India","(19.0148811, 72.8279556, 0.0)",19.0148811,72.8279556,0.0
49,Seawoods,21,25000 , 22112.94 ,72.2,"Seawoods, Seawoods Station Road, Seawoods Station Complex, Seawoods East, Navi Mumbai, Thane, Maharashtra, 400706, India","(19.0221923, 73.01873756602905, 0.0)",19.0221923,73.01873756602905,0.0
51,Bandra East,991,75282 , 6291.25 ,-8.6,"Bandra East, H/E Ward, Zone 3, Mumbai, Mumbai Suburban, Maharashtra, 40051, India","(19.0616565, 72.8498111, 0.0)",19.0616565,72.8498111,0.0
52,Khar West,382,74000 , 6531.64 ,-17.5,"The W, Witzenberg Local Municipality, Cape Winelands District Municipality, Western Cape, South Africa","(-33.5602778, 19.38, 0.0)",-33.5602778,19.38,0.0
53,Santacruz West,2133,131938 , 73994.54 ,1.9,"Santacruz, Los Abades, Nariño, Pacífica, Colombia","(1.27757385, -77.72891340825922, 0.0)",1.27757385,-77.72891340825922,0.0
54,Mulund East,200,41641 , 28434.07 ,32.8,"Mulund East, T Ward, Zone 6, Mumbai, Mumbai Suburban, Maharashtra, 400081, India","(19.1704719, 72.9610447, 0.0)",19.1704719,72.9610447,0.0
55,Vikhroli,610,74299 , 42812.12 ,56.8,"Vikhroli, Pirojsha Godrej Marg, Godrej Garden Enclave, N Ward, Zone 6, Mumbai, Mumbai Suburban, Maharashtra, 400079, India","(19.1114795, 72.928021, 0.0)",19.1114795,72.928021,0.0
56,Juhu,367,125000 , 85144.62 ,48.7,"Juhu, K/W Ward, Zone 3, Mumbai, Mumbai Suburban, Maharashtra, 40009, India","(19.1070215, 72.8275275, 0.0)",19.1070215,72.8275275,0.0
57,Sion,1677,48111 , 42630.25 ,-35.9,"Sion, Condom, Gers, Occitanie, France métropolitaine, 32110, France","(43.73903, 0.00822, 0.0)",43.73903,0.00822,0.0
58,Nerul,2157,40000 , 22541.16 ,44.1,"Nerul, Mata Amritanandamayi Marg, Nerul West, Navi Mumbai, Thane, Maharashtra, 400706, India","(19.033611800000003, 73.01813957492513, 0.0)",19.033611800000003,73.01813957492513,0.0
59,Ambernath West,2713,21605 , 9580.71 ,308.6,"Ambernath, Ulhasnagar, Thane, Maharashtra, India","(19.1989795, 73.19611234000438, 0.0)",19.1989795,73.19611234000438,0.0
